//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//   Código da Estação: 937023
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
00937023;1;01/05/1939;1;14,6;25,6;15;4;1;1;0;341,5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;14,6;0;0;0;0;0;1,5;0;5;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/06/1939;1;25,4;65,3;15;9;1;1;0;341,5;1;5;5;3;0;0;0;0;0;0;0;0;0;0;5,5;25,4;14,5;3,2;3,5;0;0;0;0;0;0;0;0,2;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/07/1939;1;13,3;44,6;23;11;1;1;0;341,5;1;0;0;12,8;1,8;1;8,9;0;1,6;2;0;0;0;0;0;0,2;0;2,4;0;0;0;0;0,3;13,3;0;0;0;0;0;0,3;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/08/1939;1;5,8;9,3;16;10;1;1;0;341,5;1;0;0;0;0,3;0,2;0;1,4;0;0,3;0,2;0;0;0;0;0;5,8;0;0,3;0;0,2;0;0,3;0;0;0;0;0,3;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/09/1939;1;4,5;4,7;12;2;1;1;0;341,5;1;0;0;0;0;0;0;0;0;0;0;0;4,5;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/10/1939;1;13,2;22,5;8;10;1;1;0;341,5;1;0;0;0;0;0;0;0;13,2;0,3;0,2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1,4;1,4;0;0,2;3,2;0,4;1,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/11/1939;1;5,9;10,4;26;3;1;1;0;341,5;1;0;0;0;0;0;0;0;0;0;0;0;0;4,3;0;0;0;0;0;0;0;0;0,2;0;0;0;5,9;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
00937023;1;01/12/1939;1;19;65;10;6;1;1;0;341,5;1;0;0;0;0;0;0;0;0;0;19;4;0;0;0;0;2,7;15,5;0;0;0;0;0;0;0;0;0;0;11,2;0;12,6;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/01/1940;1;6,9;25;23;7;1;1;0;583,5;1;0;0;0;0;1,5;0;0;4;0;0;0;5,1;2,5;1;0;0;0;0;0;0;4;0;6,9;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
00937023;1;01/02/1940;1;58;81,5;28;4;1;1;0;583,5;1;0;0;0;0;0;0;0;12,5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;6;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
